request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 60,983,136.21 available over the next 90 days, above the IDR 24,768,300 minimum."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 90,373.29 available over the next 90 days, above the ZAR 20,500 minimum."
request_28,243.21,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Pay EUR 1,302.40 in full on 15 August 2024. Paying earlier would take the balance below the EUR 1,100 minimum, which it reaches on 14 June 2024."
request_29,1828.27,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 November 2025. Only ZAR 1,828.27 of the ZAR 51,524 is safe, and none of the available options keeps the ZAR 28,300 minimum protected within the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This completes the full USD 775.20 and keeps the USD 900 minimum protected."
request_31,3130537.15,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum, which it reaches on 14 September 2024."
request_32,7663.78,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. Only ZAR 7,663.78 of the ZAR 40,018 is safe, and none of the available options keeps the ZAR 35,700 minimum protected within the next 90 days."
request_33,29142.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. Only INR 29,142.77 of the INR 118,000 is safe, and none of the available options keeps the INR 102,100 minimum protected within the next 90 days."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 415,638.53 available over the next 90 days, above the INR 138,500 minimum."
request_35,28974.8,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum, which it reaches on 14 November 2025."
request_36,675.7,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 September 2026. Only USD 675.70 of the USD 3,954 is safe, and none of the available options keeps the USD 2,400 minimum protected within the next 90 days."
request_37,4399473.97,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Pay IDR 14,649,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 17,056,200 minimum, which it reaches on 14 March 2024."
request_38,181.85,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"Pay EUR 971.30 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400 minimum, which it reaches on 14 August 2025."
request_39,56662.03,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 15 June 2026. Paying earlier would take the balance below the INR 213,400 minimum, which it reaches on 14 April 2026."
request_40,374.18,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. Only EUR 374.18 of the EUR 1,290.30 is safe, and none of the available options keeps the EUR 1,500 minimum protected within the next 90 days."
request_41,8225442.89,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 25,366,600 minimum, which it reaches on 14 November 2025."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 157,591.80 available over the next 90 days, above the INR 113,100 minimum."
request_43,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. Only IDR 0 of the IDR 43,339,000 is safe, and none of the available options keeps the IDR 21,398,000 minimum protected within the next 90 days."
request_44,32002.87,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. Only INR 32,002.87 of the INR 95,800 is safe, and none of the available options keeps the INR 82,900 minimum protected within the next 90 days."
request_45,4316082.81,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum, which it reaches on 14 July 2026."
request_46,32244.12,affordable_with_plan,partial_payment,2024-12-03:32244.12|2024-12-15:17205.88,2024-12-15,none,"Pay INR 32,244.12 today and the remaining INR 17,205.88 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 54,634,434.51 available over the next 90 days, above the IDR 30,049,000 minimum."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 75,748.79 available over the next 90 days, above the INR 71,300 minimum."
request_49,11759273.36,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This completes the full IDR 34,333,000 and keeps the IDR 20,275,700 minimum protected."
request_50,39050.58,affordable_with_plan,full_payment,2025-08-06:43900,2025-10-15,reduce_to:event_4680:1928,"Reduce the household shopping, then pay INR 43,900 today. Without that change the balance would fall to INR 94,850.58 on 14 October 2025 and breach the INR 99,700 minimum."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 29,957,761.20 available over the next 90 days, above the IDR 7,811,000 minimum."
request_52,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 9 July 2024. Only INR 0 of the INR 28,870 is safe, and none of the available options keeps the INR 41,500 minimum protected within the next 90 days."
request_53,541.01,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,stop:event_4925,"Use 3 installments of USD 589.06, starting 21 November 2025. This completes the full USD 1,699.20 and keeps the USD 2,100 minimum protected."
request_54,2868.03,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. Only ZAR 2,868.03 of the ZAR 121,528 is safe, and none of the available options keeps the ZAR 37,000 minimum protected within the next 90 days."
request_55,137592.73,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This completes the full INR 218,600 and keeps the INR 124,300 minimum protected."
request_56,488.54,affordable_with_plan,partial_payment,2025-02-03:488.54|2025-02-15:393.02,2025-02-15,none,"Pay USD 488.54 today and the remaining USD 393.02 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,11809.96,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum, which it reaches on 14 April 2026."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 15,995,488.34 available over the next 90 days, above the IDR 14,433,900 minimum."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This completes the full INR 140,600 and keeps the INR 132,600 minimum protected."
request_60,91.99,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,"Pay USD 199.89 in full on 15 February 2026. Paying earlier would take the balance below the USD 400 minimum, which it reaches on 14 January 2026."
request_61,25753.3,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,,reduce_to:event_5713:784.30|reduce_to:event_5714:784.30,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This completes the full ZAR 29,062 and keeps the ZAR 36,700 minimum protected."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 4,577.03 available over the next 90 days, above the USD 1,300 minimum."
request_63,44110.87,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 September 2026. Only INR 44,110.87 of the INR 343,900 is safe, and none of the available options keeps the INR 153,500 minimum protected within the next 90 days."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. Only INR 0 of the INR 63,700 is safe, and none of the available options keeps the INR 36,100 minimum protected within the next 90 days."
request_65,6101.79,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. Only ZAR 6,101.79 of the ZAR 54,340 is safe, and none of the available options keeps the ZAR 15,500 minimum protected within the next 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 244,316.75 available over the next 90 days, above the INR 80,700 minimum."
request_67,367.81,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Pay USD 2,094 in full on 15 October 2024. Paying earlier would take the balance below the USD 1,200 minimum, which it reaches on 14 September 2024."
request_68,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. Only USD 0 of the USD 2,091.60 is safe, and none of the available options keeps the USD 1,500 minimum protected within the next 90 days."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,"Pay EUR 529.10 today. This leaves at least EUR 709.01 available over the next 90 days, above the EUR 700 minimum."
request_70,52448.17,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum, which it reaches on 14 December 2024."
request_71,491984.5,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. Only IDR 491,984.50 of the IDR 21,451,000 is safe, and none of the available options keeps the IDR 8,884,800 minimum protected within the next 90 days."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,268.73 available over the next 90 days, above the ZAR 12,200 minimum."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 112,078.83 available over the next 90 days, above the INR 103,200 minimum."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 62,953.07 available over the next 90 days, above the ZAR 21,900 minimum."
request_75,1811.46,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 June 2026. Only ZAR 1,811.46 of the ZAR 28,270 is safe, and none of the available options keeps the ZAR 39,000 minimum protected within the next 90 days."
request_76,780.61,affordable_later,not_recommended,none,2024-07-15,none,"The full USD 4,455.60 only becomes safe on 15 July 2024, and none of the payment methods this user accepts reaches that date. Do not proceed now."
request_77,59875.76,affordable_later,wait,2025-11-15:60700,2025-11-15,none,"Pay INR 60,700 in full on 15 November 2025. Paying earlier would take the balance below the INR 82,200 minimum, which it reaches on 14 November 2025."
request_78,44347.53,affordable_later,wait,2025-10-15:50200,2025-10-15,none,"Pay INR 50,200 in full on 15 October 2025. Paying earlier would take the balance below the INR 55,200 minimum, which it reaches on 14 October 2025."
request_79,313.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 1 November 2024. Only EUR 313.26 of the EUR 2,151.60 is safe, and none of the available options keeps the EUR 1,000 minimum protected within the next 90 days."
request_80,81357.36,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. Only INR 81,357.36 of the INR 217,500 is safe, and none of the available options keeps the INR 121,300 minimum protected within the next 90 days."
